group_code,breeder,breeder_cross_code,eval_cat,Concept,Funding,state,Fruit count,Fruit Load,harvest_date,tray_number,fruit_left,fruit_harvested,All trays Quanity,total thrown,# rots thrown (12wk?),# softs thown (12wks?),Date,ave_frtWgt_harvest,fruitCount_total,failed_thrshld,breeder_response,ave_frtWgt_total,data_type,harvest_brix,harvest_dm,Sensory  Dry Matter (%),storage_week_due,sensory_week_due,coolstore_removal_date,days_ripen,primary_shape,taste_done,sensory_firmness,sensory_brix,storage1_date,storage1_week,storage1_firmness,last_storage_date,last_storage_week,last_storage_firmness,post_harvest_state,Sensory Brix (SSC) - Combined,Sensory Brix (SSC) - Stem,Sensory Brix (SSC) - Stylar,Sensory Chroma-C,Sensory Chroma-H,Sensory Chroma-L,Sensory Days to Ripen,Sensory FF Flat (kgf) Fruit Firmness,Sensory FF Flat (kgf) Fruit Firmness - Core,Sensory Fruit Diameter Maximum (mm),Sensory Fruit Diameter Minimum (mm),Sensory Fruit Diameter Ratio,Sensory Fruit Length (mm),Sensory Core Cavity,Sensory Core Colour,Sensory Core Firmness,Sensory Core Size,Sensory Cross Section,Sensory Hair Removability,Sensory Lenticels,Sensory Primary Shape,Sensory  Red FAST-Intensity Outer,Sensory  Red FAST-Intesity Inner,Sensory  Red FAST-Red Equatorial Spread,Sensory  Red Longitudinal Spread,Sensory  Sample size,Sensory Secondary Shape,Sensory Shoulder Shape,Sensory Skin Hairiness,Sensory Stylar Cavity External,Sensory Stylar Cavity Internal,Sensory Stylar End Shape,Sensory Woody Plug,Date1,Taster 1,O/A 1,Sweetness 1,Acid 1,Texture 1,Juiciness 1,Intensity 1,Duration 1,Core 1,Ripeness 1,retaste 1,SensoryComments1,Date2,Taster 2,O/A 2,Sweetness 2,Acid 2,Texture 2,Juiciness 2,Intensity 2,Duration 2,Core 2,Ripeness 2,retaste 2,SensoryComments2,Date3,Taster 3,O/A 3,Sweetness 3,Acid 3,Texture 3,Juiciness 3,Intensity 3,Duration 3,Core 3,Ripeness 3,retaste 3,SensoryComments3,Date4,Taster 4,O/A 4,Sweetness 4,Acid 4,Texture 4,Juiciness 4,Intensity 4,Duratioin 4,Core 4,Ripeness 4,retaste 4,SensoryComments4,Date5,Taster 5,O/A 5,Sweetness 5,Acid 5,Texture 5,Juiciness 5,Intensity 5,Duration 5,Core 5,Ripeness 5,retaste 5,SensoryComments5,Date6,Taster 6,O/A 6,Sweetness 6,Acid 6,Texture 6,Juiciness 6,Intensity 6,Duration 6,Core 6,Ripeness 6,retaste 6,SensoryComments6,Date7,Taster 7,O/A 7,Sweetness 7,Acid 7,Texture 7,Juiciness 7,Intensity 7,Duration 7,Core 7,Ripeness 7,retaste 7,Taster 8,SensoryComments7,Date8,O/A 8,Sweetness 8,Acid 8,Texture 8,Juiciness 8,Intensity 8,Duration 8,Core 8,Ripeness 8,retaste 8,SensoryComments8
K10.11-03-13c,CC,zB04,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-03-14b,CC,zB04,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-03-14i,CC,zB03,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-03-14n,CC,zB0507,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-03-15h,CC,zB03,ZR4_CC,Red,Commercial,Culled,11,2,21/04/2016,1601812,4,7,,,,,,109.46,8,,,109.32,Predicted,8.89,14.14666667,,,,,,,,,,30/06/2016,10,0.42,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-03-16c,CC,zB03,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-03-16l,CC,zB0507,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-04-11f,CC,zB02,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-04-12i,CC,zC07,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-04-13i,CC,zB07,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-04-14a,CC,zC02,ZR4_CC,Red,Commercial,Culled,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-04-15a,CC,zB03,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-05-11h,CC,zB0507,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-05-12c,CC,zB03,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-05-12i,CC,zB03,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-05-13a,CC,zB03,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.11-05-13c,CC,zB0507,ZR4_CC,Red,Commercial,Culled,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
